ID,MUID,Code,Currency,Country_Name,Flag
181,82D9D184-D53B-4E20-A380-8DC88A6D60B4,Russian FederationRUB,RUB,Russian Federation,True
182,E0D28BD9-1346-4AD9-A69B-4CCEAACBB266,RwandaRWF,RWF,Rwanda,True
183,75F7C5F8-2DB6-4B36-8797-6D91786BC789,"Saint Helena, Ascension and Tristan da CunhaSHP",SHP,"Saint Helena, Ascension and Tristan da Cunha",True
184,FB9B7161-7594-4C54-B050-A4FD253F0B4A,Saint Kitts and NevisXCD,XCD,Saint Kitts and Nevis,True
185,462D6666-EDDC-43F1-BEE7-443AA043C52D,Saint LuciaXCD,XCD,Saint Lucia,True
186,16E022F1-DBAA-435F-B55F-912F3C6A53B3,Saint Pierre and MiquelonEUR,EUR,Saint Pierre and Miquelon,True
187,D06AD0C0-0965-485F-99F3-AC91CEFC7C43,Saint Vincent and the GrenadinesXCD,XCD,Saint Vincent and the Grenadines,True
188,ECC4E581-90B4-4FD2-A017-BD62C27253E1,SamoaWST,WST,Samoa,True
189,8658DFA2-994C-45EB-8D48-5623412E4782,San MarinoEUR,EUR,San Marino,True
190,166C0D85-3CAB-4610-B3AA-D42D595484C1,Sao Tome and PrincipeSTD,STD,Sao Tome and Principe,True
191,E11E005C-AC74-47C6-BFFA-CFFE0A042125,Saudi ArabiaSAR,SAR,Saudi Arabia,True
192,30475AC7-4F5E-45B4-BC40-75817781F72B,SenegalXOF,XOF,Senegal,True
193,D7257B5B-8CDC-4D35-8CD2-00E13161AFEC,SerbiaRSD,RSD,Serbia,True
194,06B3CC4E-5639-4BCD-829F-53928D59E7C0,SeychellesSCR,SCR,Seychelles,True
195,7733C632-9765-449E-B552-21CE3F148EF9,Sierra LeoneSLL,SLL,Sierra Leone,True
196,5DFF4503-CBAF-4FB5-8A5E-178A9D2E68D7,SingaporeSGD,SGD,Singapore,True
197,3D3CA014-F941-4E3C-85E4-F11FFBB16868,Sint Maarten (Dutch part)ANG,ANG,Sint Maarten (Dutch part),True
198,DDE71F8A-6EAD-43C8-9721-CE1751BA6792,SlovakiaEUR,EUR,Slovakia,True
199,8BE0D593-5372-40A8-9D8A-332D1CBFFA2E,SloveniaEUR,EUR,Slovenia,True
200,EF945056-ABD7-40AE-8BBF-E131AB8700D4,Solomon IslandsSBD,SBD,Solomon Islands,True
201,5CA28EF6-B71A-4BB1-AF3D-7FED80318CAE,SomaliaSOS,SOS,Somalia,True
202,A4040456-3628-4A78-99CF-AB2221ABC63D,South AfricaZAR,ZAR,South Africa,True
203,7D347DDF-035B-41BD-958B-F6B19B989D9B,South SudanSSP,SSP,South Sudan,True
204,9861E4CB-A945-4E78-98C4-655ED8033931,SpainEUR,EUR,Spain,True
205,7779DA47-C28D-42A7-B502-146CB5590648,Sri LankaLKR,LKR,Sri Lanka,True
206,84CE99AC-F7D6-4892-92E8-1B840DA0DF5E,SudanSDG,SDG,Sudan,True
207,F7B6547B-EE3A-41B9-ABAB-35473AAA7A87,SurinameSRD,SRD,Suriname,True
208,277B2DC9-2107-4054-9E9E-BF72875B7D27,Svalbard and Jan Mayen NOK,NOK,Svalbard and Jan Mayen,True
209,0F4B8D09-634C-46D4-9FB7-A41524DC05F9,SwazilandSZL,SZL,Swaziland,True
210,740DCCF0-D920-4820-8667-DD47AF28D593,SwedenSEK,SEK,Sweden,True
211,25387479-0587-43CC-B861-F3212DA32F9D,SwitzerlandCHF,CHF,Switzerland,True
212,316AF6F1-4812-444C-8A02-A571F034408C,Syrian Arab RepublicSYP,SYP,Syrian Arab Republic,True
213,BF3355DA-395B-45F5-9068-58B13507A12B,TaiwanTWD,TWD,Taiwan,True
214,E97CD838-548F-4F63-AA24-B76CA097B591,TajikistanRUB,RUB,Tajikistan,True
215,F4E91C34-C928-4D62-BEF7-25C2F39E8D0B,"Tanzania, United Republic ofTZS",TZS,"Tanzania, United Republic of",True
216,AE76F318-FB8B-4E6B-8C15-EEB3840B6D0D,ThailandTHB,THB,Thailand,True
217,7F1F84FC-A978-49FF-B4BA-C2D1F62AE308,Timor-LesteUSD,USD,Timor-Leste,True
218,9F8D65FD-AAA4-4868-9E38-9CDB06D9F5D4,TogoXOF,XOF,Togo,True
219,A776742F-71E5-43D2-A592-448256BC0A3E,TokelauNZD,NZD,Tokelau,True
220,92CB245C-7509-43B9-92C9-88172FB4068E,TongaTOP,TOP,Tonga,True
221,C1EEA395-7170-40AE-831A-0978638D5CB4,Trinidad and TobagoTTD,TTD,Trinidad and Tobago,True
222,EEC44081-890F-4919-9C2B-4504E411C87F,TunisiaTND,TND,Tunisia,True
223,76C2BF8B-2D04-4CDF-BE35-EA7B26DC1EEF,TurkeyTRY,TRY,Turkey,True
224,6AD6D7D6-DDB1-45D1-BE21-859BFB32094E,TurkmenistanTMM,TMM,Turkmenistan,True
225,EF0188D0-0D33-4D33-AFC5-86F179779891,Turks and Caicos IslandsUSD,USD,Turks and Caicos Islands,True
226,7BBFB26C-9A9E-4AE6-B5D9-57621AFE91A0,TuvaluAUD,AUD,Tuvalu,True
227,61786BFA-E042-42FD-B387-C1CA1017982F,UgandaUGX,UGX,Uganda,True
228,0CB44567-8919-4272-A03F-D2C771C340C5,UkraineUAH,UAH,Ukraine,True
229,58E3DF0C-DF0E-4604-B708-2C4974D27436,United Arab EmiratesAED,AED,United Arab Emirates,True
230,EF7CFBA2-558F-4496-B7CF-30186D6C4948,United KingdomGBP,GBP,United Kingdom,True
231,A4AEB809-8DC9-44FD-A1F3-A2E61C3A12F8,United StatesUSD,USD,United States,True
232,ABBC7388-0D33-4DC9-9638-4303553A4296,United States Minor Outlying IslandsUSD,USD,United States Minor Outlying Islands,True
233,55C88A1A-CF8B-48CD-8F57-7960C6D8BEC4,UruguayUYU,UYU,Uruguay,True
234,3B6D34C9-5511-4414-B2D8-80A29122152F,UzbekistanUZS,UZS,Uzbekistan,True
235,9E238098-ABFB-41A2-AFDB-90DCB1BF3EAF,VanuatuVUV,VUV,Vanuatu,True
236,C3748535-EA67-4215-B01F-C376BD43BE14,"Venezuela, Bolivarian Republic ofVES",VES,"Venezuela, Bolivarian Republic of",True
237,CA93DAB6-8D59-47A9-A18D-9410FDC1104E,Viet NamVND,VND,Viet Nam,True
238,9091E6BC-3A9A-402E-A7AC-C2795D979218,Virgin Islands (British)USD,USD,Virgin Islands (British),True
239,33AEAF47-549B-44DB-B412-76D4118204BB,"Virgin Islands, (U.S.)USD",USD,"Virgin Islands, (U.S.)",True
240,1DB0A5B7-8528-41C5-B31C-42A1054EF700,Wallis and FutunaXPF,XPF,Wallis and Futuna,True
241,7CC3B087-7533-4154-B8B9-86E5126C62B1,YemenYER,YER,Yemen,True
242,86D1C6A3-AAC1-4F4F-A6D7-3A071A833B95,ZambiaZMW,ZMW,Zambia,True
243,8B257DB8-3F95-4317-B102-B7A1B1D608FA,ZimbabweUSD,USD,Zimbabwe,True
